Passage,Book
"'Groop, I implore thee, my foonting turlingdromes'",HHG
'O freddled gruntbuggly ... thy micturnations are to me' ,HHG
"'Oh don't give me none more of that Old Janx Spirit / No, don't give me none more of that Old Janx Spirit / For my head will fly, my tongue will lie, my eyes will fry and I may die / Won't you pour me one more of that sinful Old Janx Spirit'",HHG
"'Aldebaran's great, OK, / Algol's pretty neat / Betelgeuse's pretty girls / Will knock you off your feet. / They'll do anything you like, / Real fast then real slow, / But if you have to take me apart to get there, / Then I don't want to go’",REU
"An SEP  something that we can’t see, or don’t see, or our brain doesn’t let us see, because we think that it’s somebody else’s problem. That’s what SEP means. Somebody Else’s Problem. The brain just edits it out, it’s
like a blind spot.",LUE
"And so the problem remained; lots of people were mean, and most of them were miserable, even the ones with digital watches.",HHG
DON'T PANIC!,
Far out in the uncharted backwaters of the unfashionable end of the Western Spiral Arm of the galaxy lies a small un-regarded yellow sun.,
"For when you are put into a Total Perspective Vortex you are given just one momentary glimpse of the entire unimaginable infinity of creation, and somewhere in it a tiny marker, a microscopic dot on top of a microscopic dot, which says ""You are here.""",REU
"'Space', the Guide says, ‘is big’. Really big. You just won’t believe how vastly mindbogglingly big it is. I mean you may think its a long way down the road to the chemist, but that's just peanuts to space.",HHG
"In a high dimension of which we know nothing the mighty Khan bellowed with rage, but Mr Prosser only trembled slightly and whimpered",HHG
"Let me introduce myself, my name is Roosta, and this is my towel.",HHG
"Life, the Universe, and Everything!",LUE
"Meanwhile, more millions of miles away than the mind can comfortably encompass, Zaphod Beeblebrox was throwing a mood again.",HHG
"Silently the aircar coasted through the cold darkness, a single soft glow of light that was utterly alone in the deep Magrathean night. It sped swiftly.",HHG
So long and thanks for all the fish.,LUE
"The Guide says there is an art to flying, or rather a knack. The knack lies in learning how to throw yourself at the ground and miss.",LUE
"The History of every major Galactic Civilization tends to pass through three distinct and recognizable phases, those of Survival, Inquiry and Sophistication, otherwise known as the How, Why and Where phases.",REU
"The pink cubicle had winked out of existence, the monkeys had sunk away to a better dimension.",HHG
The ruler of the universe dozed slightly in his chair.,REU
Time is an illusion. Lunchtime doubly so.,HHG
Time travel is increasingly regarded as a menace. History is being polluted.,LUE
To summarize the summary anyone capable of getting themselves president should on no account be allowed to do the job. To summarize the summary of the summary: people are the problem.,REU
Too busy. Too modern. Too skeptical.,REU
two-to-the-power-of-Infinity-minus-one to one against …,HHG
Under law the Quest for Ultimate Truth is quite clearly the inalienable prerogative of our working thinkers.,HHG
"When he heard the words ""integrity"" or ""moral rectitude"", he reached for his dictionary, and when he heard the chink of ready money in large quantities he reached for the rule book and threw it away.",REU
"Any man who can hitch the length and breadth of the galaxy, rough it, slum it, struggle against terrible odds, win through, and still know where his towel is is clearly a man to  be reckoned with.",HHG
"Many were increasingly of the opinion that they’d all made a big mistake in coming down from the trees in the first place. And some said that even the trees had been a bad move, and that no one should have left the oceans.",HHG
The Hitchhiker’s Guide says that the effect of drinking a Pan Galactic Gargle Blaster is like having your brains smashed out by a slice of lemon wrapped around a large gold brick,HHG
